@iot.selfLink;@iot.id;description;encodingType;feature;name;Observations@iot.navigationLink
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(12);12;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(12)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(13);13;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(13)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(14);14;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(14)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(15);15;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(15)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(16);16;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(16)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(17);17;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(17)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(18);18;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(18)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(19);19;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(19)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(20);20;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(20)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(21);21;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(21)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(22);22;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(22)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(23);23;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(23)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(24);24;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(24)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(25);25;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(25)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(26);26;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(26)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(27);27;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(27)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(28);28;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(28)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(29);29;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(29)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(30);30;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(30)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(31);31;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(31)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(32);32;A very pretty place on Earth;application/geo+json;"{""type"":""Point"",""coordinates"":[11.347392,46.494581]}";Bolzano (Bozen);http://localhost:8080/staplus/v1.1/FeaturesOfInterest(32)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(33);33;Next to Birmingham;application/geo+json;"{""type"":""Point"",""coordinates"":[-1.893483,52.484752]}";Aston;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(33)/Observations
